name,url,leibie,author,pub_time,status
['修真教授生活录'],['https://www.quanben.net/4/4536/'],['[言情小说]'],['纵马昆仑'],['16-03-29'],['已完成']
['无限炼魂'],['https://www.quanben.net/9/9866/'],['[科幻小说]'],['天堂之手'],['16-03-28'],['已完成']
['海贼王之轮回再现'],['https://www.quanben.net/13/13625/'],['[穿越小说]'],['坏蛋也是个样'],['16-03-20'],['已完成']
['重生之联盟王者'],['https://www.quanben.net/9/9872/'],['[网游小说]'],['妖冶娴都'],['16-03-19'],['已完成']
['缘落韩娱'],['https://www.quanben.net/12/12788/'],['[言情小说]'],['云落竹'],['16-03-16'],['已完成']
['超神建模师'],['https://www.quanben.net/4/4203/'],['[科幻小说]'],['零下九十度'],['16-03-16'],['已完成']
['恶鬼保镖'],['https://www.quanben.net/1/1422/'],['[言情小说]'],['懒人'],['16-02-21'],['已完成']
['重生之大英雄'],['https://www.quanben.net/10/10845/'],['[言情小说]'],['沧海煮成酒'],['16-02-18'],['已完成']
['诛仙'],['https://www.quanben.net/9/9504/'],['[玄幻小说]'],['萧鼎'],['16-02-17'],['已完成']
['贴身护美'],['https://www.quanben.net/9/9536/'],['[言情小说]'],['萧十三少'],['16-02-16'],['已完成']
['天灾变'],['https://www.quanben.net/5/5551/'],['[玄幻小说]'],['天羽龙翔'],['16-02-07'],['已完成']
['武器专家'],['https://www.quanben.net/8/8618/'],['[言情小说]'],['观星梦青冥'],['16-02-02'],['已完成']
['兰香缘'],['https://www.quanben.net/7/7369/'],['[穿越小说]'],['禾晏山'],['16-01-27'],['已完成']
['海王祭'],['https://www.quanben.net/1/1570/'],['[玄幻小说]'],['骷髅精灵'],['16-01-20'],['已完成']
['残明'],['https://www.quanben.net/5/5403/'],['[历史小说]'],['半渡'],['16-01-19'],['已完成']
['分身八爪鱼'],['https://www.quanben.net/11/11711/'],['[言情小说]'],['秒速九光年'],['16-01-12'],['已完成']
['升斗小民'],['https://www.quanben.net/9/9191/'],['[言情小说]'],['如莲如玉'],['16-01-12'],['已完成']
['网游之神魔'],['https://www.quanben.net/12/12679/'],['[网游小说]'],['惜墨如金'],['16-01-11'],['已完成']
['网游之最强房东'],['https://www.quanben.net/12/12219/'],['[网游小说]'],['黑乎乎的老妖'],['16-01-11'],['已完成']
['超弦空间'],['https://www.quanben.net/11/11897/'],['[网游小说]'],['饕餮居士'],['16-01-08'],['已完成']
['我当阴阳先生的那几年'],['https://www.quanben.net/0/762/'],['[科幻小说]'],['崔走召'],['16-01-06'],['已完成']
['红警之索马里'],['https://www.quanben.net/2/2907/'],['[历史小说]'],['华丽的虚伪'],['16-01-06'],['已完成']
['神鬼剑士'],['https://www.quanben.net/12/12660/'],['[网游小说]'],['突然光和热'],['16-01-04'],['已完成']
['Dota之国士无双'],['https://www.quanben.net/9/9978/'],['[网游小说]'],['大鱼人'],['16-01-02'],['已完成']
['大艺术家'],['https://www.quanben.net/11/11839/'],['[言情小说]'],['七七家d猫猫'],['16-01-02'],['已完成']
['证道成峰'],['https://www.quanben.net/9/9947/'],['[玄幻小说]'],['九弥之夜'],['15-12-28'],['已完成']
['超级科技霸主'],['https://www.quanben.net/6/6067/'],['[言情小说]'],['落地飞鹰'],['15-12-27'],['已完成']
['悠悠重生记'],['https://www.quanben.net/13/13762/'],['[穿越小说]'],['仙草藤'],['15-12-27'],['已完成']
['西界封神'],['https://www.quanben.net/13/13724/'],['[修真小说]'],['以便以谢'],['15-12-25'],['已完成']
['神级农民系统'],['https://www.quanben.net/13/13706/'],['[言情小说]'],['月华炎'],['15-12-25'],['已完成']
['极限武尊'],['https://www.quanben.net/5/5916/'],['[玄幻小说]'],['欧阳晕'],['15-12-24'],['已完成']
['搜神记'],['https://www.quanben.net/4/4672/'],['[玄幻小说]'],['树下野狐'],['15-12-20'],['已完成']
['地球停转之日'],['https://www.quanben.net/13/13610/'],['[网游小说]'],['半截烟灰'],['15-12-18'],['已完成']
['王牌枪手'],['https://www.quanben.net/13/13598/'],['[网游小说]'],['穿靴子的猪'],['15-12-18'],['已完成']
['我惹了野蛮美女'],['https://www.quanben.net/13/13590/'],['[言情小说]'],['华星'],['15-12-18'],['已完成']
['黑山老妖'],['https://www.quanben.net/13/13588/'],['[修真小说]'],['梦入神机'],['15-12-18'],['已完成']
['谋定三国'],['https://www.quanben.net/13/13589/'],['[历史小说]'],['避世的麒麟'],['15-12-16'],['已完成']
['末世残兵'],['https://www.quanben.net/13/13587/'],['[科幻小说]'],['化草为刃'],['15-12-16'],['已完成']
['召唤卡神'],['https://www.quanben.net/13/13586/'],['[玄幻小说]'],['妄论春秋'],['15-12-16'],['已完成']
['英雄无敌之极品领主'],['https://www.quanben.net/13/13573/'],['[网游小说]'],['熏香如风'],['15-12-16'],['已完成']
['网游之魔导之魂'],['https://www.quanben.net/13/13571/'],['[网游小说]'],['飘零幻'],['15-12-16'],['已完成']
['电影大盗'],['https://www.quanben.net/13/13572/'],['[科幻小说]'],['李小梨'],['15-12-16'],['已完成']
['步步逼婚：萌妻归来'],['https://www.quanben.net/13/13550/'],['[言情小说]'],['微扬'],['15-12-16'],['已完成']
['继承者归位：错爱冷艳二小姐'],['https://www.quanben.net/13/13555/'],['[言情小说]'],['蜜菲儿'],['15-12-16'],['已完成']
['古脉传言：天才言灵师'],['https://www.quanben.net/13/13556/'],['[科幻小说]'],['大漠猪飞'],['15-12-16'],['已完成']
['四世三生几回欢'],['https://www.quanben.net/13/13557/'],['[修真小说]'],['九世为妖'],['15-12-16'],['已完成']
['小康农女'],['https://www.quanben.net/13/13562/'],['[穿越小说]'],['兰花猪'],['15-12-16'],['已完成']
['邪王狂追妻：草包庶小姐'],['https://www.quanben.net/13/13513/'],['[穿越小说]'],['倾飞扬'],['15-12-15'],['已完成']
['精武门'],['https://www.quanben.net/13/13430/'],['[修真小说]'],['格斗家'],['15-12-04'],['已完成']
['进化无限'],['https://www.quanben.net/13/13429/'],['[网游小说]'],['一人的村庄'],['15-12-04'],['已完成']
['魔兽全职者仙界纵横'],['https://www.quanben.net/13/13427/'],['[修真小说]'],['水熊虫'],['15-12-04'],['已完成']
['超时空湮灭'],['https://www.quanben.net/13/13428/'],['[科幻小说]'],['范思科多'],['15-12-04'],['已完成']
['网游之远古神话'],['https://www.quanben.net/13/13426/'],['[网游小说]'],['风清'],['15-12-04'],['已完成']
['大漠苍狼'],['https://www.quanben.net/13/13425/'],['[科幻小说]'],['南派三叔'],['15-12-04'],['已完成']
['明星老公是萌物'],['https://www.quanben.net/13/13408/'],['[言情小说]'],['白粥儿'],['15-12-04'],['已完成']
['冥王的鬼妃'],['https://www.quanben.net/13/13404/'],['[穿越小说]'],['颜兰'],['15-12-04'],['已完成']
['重生者'],['https://www.quanben.net/13/13394/'],['[科幻小说]'],['木子心'],['15-12-03'],['已完成']
['空战极限'],['https://www.quanben.net/13/13369/'],['[历史小说]'],['翱翼天鹏'],['15-12-02'],['已完成']
['变态法师'],['https://www.quanben.net/13/13368/'],['[网游小说]'],['小样'],['15-12-02'],['已完成']
['异界之武无止境'],['https://www.quanben.net/13/13367/'],['[修真小说]'],['俯视'],['15-12-02'],['已完成']
['末日之生死一线'],['https://www.quanben.net/13/13366/'],['[科幻小说]'],['金属裂纹'],['15-12-02'],['已完成']
['洪荒战神'],['https://www.quanben.net/13/13365/'],['[修真小说]'],['高人在哪'],['15-12-02'],['已完成']
['重生之天龙前传'],['https://www.quanben.net/13/13364/'],['[历史小说]'],['叹向大海'],['15-12-02'],['已完成']
['无限群芳谱'],['https://www.quanben.net/13/13360/'],['[科幻小说]'],['蛊真人'],['15-12-02'],['已完成']
['大射雕'],['https://www.quanben.net/13/13363/'],['[网游小说]'],['木子心'],['15-12-02'],['已完成']
['极品推销员'],['https://www.quanben.net/13/13362/'],['[言情小说]'],['曾呓'],['15-12-02'],['已完成']
['汉兵'],['https://www.quanben.net/13/13361/'],['[历史小说]'],['飞过天空'],['15-12-02'],['已完成']
['造神'],['https://www.quanben.net/13/13359/'],['[玄幻小说]'],['苍天白鹤'],['15-12-02'],['已完成']
['异界游骑兵'],['https://www.quanben.net/6/6311/'],['[玄幻小说]'],['红枫叶'],['15-12-01'],['已完成']
['极品逆臣'],['https://www.quanben.net/13/13235/'],['[历史小说]'],['少家周'],['15-11-30'],['已完成']
['无上神尊'],['https://www.quanben.net/13/13233/'],['[玄幻小说]'],['痞子易'],['15-11-30'],['已完成']
['众神空间'],['https://www.quanben.net/13/13234/'],['[科幻小说]'],['羽民'],['15-11-30'],['已完成']
['造神传说'],['https://www.quanben.net/13/13195/'],['[科幻小说]'],['徐涛'],['15-11-29'],['已完成']
['逍遥圣君'],['https://www.quanben.net/13/13194/'],['[修真小说]'],['逍遥天下'],['15-11-29'],['已完成']
['上古神迹'],['https://www.quanben.net/13/13193/'],['[科幻小说]'],['小鸡忙考试'],['15-11-29'],['已完成']
['梦若浮云'],['https://www.quanben.net/13/13162/'],['[言情小说]'],['果然似我'],['15-11-29'],['已完成']
['和我试婚的邻家姐姐'],['https://www.quanben.net/13/13167/'],['[网游小说]'],['沈溪'],['15-11-28'],['已完成']
['大清汉帝'],['https://www.quanben.net/13/13166/'],['[历史小说]'],['那里有一个二代'],['15-11-28'],['已完成']
['茅山后裔'],['https://www.quanben.net/13/13165/'],['[科幻小说]'],['大力金刚掌'],['15-11-28'],['已完成']
['天机诀'],['https://www.quanben.net/13/13164/'],['[修真小说]'],['键盘上的烟灰'],['15-11-28'],['已完成']
['网游之无限玩家'],['https://www.quanben.net/13/13163/'],['[网游小说]'],['Seraphim'],['15-11-28'],['已完成']
['三国之寒门天下'],['https://www.quanben.net/13/13161/'],['[历史小说]'],['天天不休'],['15-11-28'],['已完成']
['鬼吹灯2'],['https://www.quanben.net/13/13160/'],['[科幻小说]'],['本物天下霸唱'],['15-11-28'],['已完成']
['网游之刺客皇帝'],['https://www.quanben.net/13/13159/'],['[网游小说]'],['我是丑男'],['15-11-26'],['已完成']
['天才灵师'],['https://www.quanben.net/13/13158/'],['[言情小说]'],['西半球'],['15-11-26'],['已完成']
['重生之召唤神之路'],['https://www.quanben.net/13/13157/'],['[历史小说]'],['天戥'],['15-11-26'],['已完成']
['母皇'],['https://www.quanben.net/13/13156/'],['[科幻小说]'],['流浪的蛤蟆'],['15-11-26'],['已完成']
['异世金仙'],['https://www.quanben.net/13/13119/'],['[玄幻小说]'],['晨少'],['15-11-25'],['已完成']
['电子神仙'],['https://www.quanben.net/13/13124/'],['[修真小说]'],['飘雨无踪'],['15-11-25'],['已完成']
['都市少年修仙记'],['https://www.quanben.net/13/13122/'],['[言情小说]'],['避世的麒麟'],['15-11-25'],['已完成']
['网游之天下霸图'],['https://www.quanben.net/13/13123/'],['[网游小说]'],['孤风叶侠'],['15-11-25'],['已完成']
['帝国再起之全面战争'],['https://www.quanben.net/13/13121/'],['[历史小说]'],['金城寺'],['15-11-25'],['已完成']
['末世猎杀者'],['https://www.quanben.net/13/13120/'],['[科幻小说]'],['黑天魔神'],['15-11-25'],['已完成']
['最强武皇'],['https://www.quanben.net/12/12982/'],['[玄幻小说]'],['一曲东风'],['15-11-24'],['已完成']
['行尸天下'],['https://www.quanben.net/12/12983/'],['[科幻小说]'],['一度苍穹'],['15-11-24'],['已完成']
['错嫁总裁'],['https://www.quanben.net/12/12979/'],['[言情小说]'],['五枂'],['15-11-24'],['已完成']
['渡劫专家的后现代生活'],['https://www.quanben.net/12/12981/'],['[修真小说]'],['十二重楼'],['15-11-23'],['已完成']
['网游之三国幻梦'],['https://www.quanben.net/12/12980/'],['[网游小说]'],['木叶无聊'],['15-11-23'],['已完成']
['网游之黑暗道士'],['https://www.quanben.net/4/4221/'],['[网游小说]'],['神夜121'],['15-11-23'],['已完成']
['妖漫人间'],['https://www.quanben.net/12/12961/'],['[玄幻小说]'],['莫强求'],['15-11-23'],['已完成']
['官场硬汉'],['https://www.quanben.net/12/12960/'],['[官场小说]'],['南海十三郎'],['15-11-23'],['已完成']
['仙都传说'],['https://www.quanben.net/12/12959/'],['[玄幻小说]'],['仙都黄龙'],['15-11-22'],['已完成']
['天吟剑诀'],['https://www.quanben.net/12/12928/'],['[玄幻小说]'],['离情别绪'],['15-11-22'],['已完成']
['仙锻'],['https://www.quanben.net/12/12932/'],['[修真小说]'],['秣陵别雪'],['15-11-22'],['已完成']
['修罗至尊'],['https://www.quanben.net/12/12931/'],['[网游小说]'],['血魂星'],['15-11-22'],['已完成']
['未来军医'],['https://www.quanben.net/12/12930/'],['[修真小说]'],['胜己'],['15-11-22'],['已完成']
['网游之盗贼传说'],['https://www.quanben.net/12/12929/'],['[网游小说]'],['足球流氓'],['15-11-22'],['已完成']
['枭雄本色'],['https://www.quanben.net/12/12924/'],['[言情小说]'],['蝼蚁望天'],['15-11-22'],['已完成']
['残袍'],['https://www.quanben.net/12/12927/'],['[玄幻小说]'],['风御九秋'],['15-11-22'],['已完成']
['网游之药师行'],['https://www.quanben.net/12/12926/'],['[网游小说]'],['颓废啊江'],['15-11-22'],['已完成']
